,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nanortalik,80,GL,1558159512,92,60.14,-45.24,35.19,4.23
1,Inirida,90,CO,1558159513,98,3.87,-67.92,72.63,1.3
2,Diamantino,0,BR,1558159514,85,-14.4,-56.44,66.33,2.21
3,Saint George,20,GR,1558159516,72,39.45,22.34,69.8,1.68
4,Nadvoitsy,42,RU,1558159517,56,63.89,34.27,53.55,10.78
5,Launceston,0,AU,1558159518,58,-41.43,147.14,62.01,5.82
6,Dunedin,88,NZ,1558159382,79,-45.87,170.5,53.01,14.0
7,Walvis Bay,0,NA,1558159521,93,-22.95,14.51,54.0,5.82
8,Sorland,90,NO,1558159522,100,67.67,12.69,41.0,16.11
9,Luganville,90,VU,1558159523,94,-15.51,167.18,75.2,1.12
10,Nikolskoye,0,RU,1558159525,55,59.7,30.79,64.0,6.71
11,Manono,89,CD,1558159526,67,-7.3,27.4,76.95,1.79
12,Thompson,75,CA,1558159501,74,55.74,-97.86,33.8,4.09
13,Upernavik,96,GL,1558159529,86,72.79,-56.15,26.19,5.88
14,Victoria,75,BN,1558159396,70,5.28,115.24,91.4,3.36
15,Atuona,40,PF,1558159329,77,-9.8,-139.03,82.35,14.41
16,Tanout,24,NE,1558159532,37,14.97,8.88,84.69,8.34
17,Kaitangata,98,NZ,1558159533,65,-46.28,169.85,53.01,21.0
18,Severo-Kurilsk,6,RU,1558159535,85,50.68,156.12,41.85,4.83
19,Albany,75,US,1558159307,66,42.65,-73.75,54.0,11.41
20,Kalabo,72,ZM,1558159537,38,-15.0,22.67,62.19,4.34
21,Kavieng,84,PG,1558159538,70,-2.57,150.8,84.87,4.0
22,Egvekinot,0,RU,1558159523,86,66.32,-179.17,24.39,7.38
23,Padang,40,ID,1558159541,74,-0.92,100.36,87.8,4.7
24,Shimanovsk,40,RU,1558159542,51,52.0,127.67,54.99,10.2
25,Te Anau,93,NZ,1558159543,87,-45.41,167.72,42.39,5.82
26,Goderich,46,CA,1558159545,89,43.74,-81.71,44.01,9.86
27,Ponta do Sol,98,BR,1558159546,98,-20.63,-46.0,60.39,5.41
28,Ambilobe,0,MG,1558159547,58,-13.19,49.05,79.83,8.72
29,Puerto Baquerizo Moreno,98,EC,1558159549,85,-0.9,-89.6,78.21,12.12
30,Cherskiy,100,RU,1558159550,88,68.75,161.3,19.89,11.36
31,Kodiak,1,US,1558159551,30,39.95,-94.76,75.2,11.41
32,Port Alfred,7,ZA,1558159552,93,-33.59,26.89,60.01,4.0
33,Souillac,100,FR,1558159554,100,45.6,-0.6,53.01,1.12
34,Paranhos,2,PY,1558159385,85,-23.89,-55.43,67.05,7.65
35,Okhotsk,100,RU,1558159556,80,59.36,143.24,40.05,26.78
36,Jadu,0,LY,1558159557,11,31.95,12.03,82.89,23.38
